IPC_MSG_ID_LIST count: 1174
  8208 = MicrophoneGainProp.GetMsgID
  8209 = MicrophoneGainProp.NotifyMsgID
  8210 = MicrophoneGainProp.GetRespMsgID
  8211 = MicrophoneGainProp.SubscribeMsgID
  8212 = MicrophoneGainProp.UnsubscribeMsgID
  8213 = HIDV1BatteryStatusProp.GetMsgID
  8214 = HIDV1BatteryStatusProp.NotifyMsgID
  8215 = HIDV1BatteryStatusProp.GetRespMsgID
  8216 = HIDV1BatteryStatusProp.SubscribeMsgID
  8217 = HIDV1BatteryStatusProp.UnsubscribeMsgID
  8218 = EarbudPartnerConnectStatusProp.GetMsgID
  8219 = EarbudPartnerConnectStatusProp.NotifyMsgID
  8220 = EarbudPartnerConnectStatusProp.GetRespMsgID
  8221 = EarbudPartnerConnectStatusProp.SubscribeMsgID
  8222 = EarbudPartnerConnectStatusProp.UnsubscribeMsgID
  8223 = HeartbeatProp.SetMsgID
  8224 = HostApplicationNotificationProp.SetMsgID
  8225 = EarbudInEarStatusProp.GetMsgID
  8226 = EarbudInEarStatusProp.NotifyMsgID
  8227 = EarbudInEarStatusProp.GetRespMsgID
  8228 = EarbudInEarStatusProp.SubscribeMsgID
  8229 = EarbudInEarStatusProp.UnsubscribeMsgID
  8230 = StandaloneMicrophoneModeProp.GetMsgID
  8231 = StandaloneMicrophoneModeProp.SetMsgID
  8232 = StandaloneMicrophoneModeProp.NotifyMsgID
  8233 = StandaloneMicrophoneModeProp.GetRespMsgID
  8234 = StandaloneMicrophoneModeProp.SubscribeMsgID
  8235 = StandaloneMicrophoneModeProp.UnsubscribeMsgID
  8236 = StandaloneMicrophoneVolumeProp.GetMsgID
  8237 = StandaloneMicrophoneVolumeProp.SetMsgID
  8238 = StandaloneMicrophoneVolumeProp.NotifyMsgID
  8239 = StandaloneMicrophoneVolumeProp.GetRespMsgID
  8240 = StandaloneMicrophoneVolumeProp.SubscribeMsgID
  8241 = StandaloneMicrophoneVolumeProp.UnsubscribeMsgID
  8242 = EqualizerSettingsProp.GetMsgID
  8243 = EqualizerSettingsProp.SetMsgID
  8244 = EqualizerSettingsProp.NotifyMsgID
  8245 = EqualizerSettingsProp.GetRespMsgID
  8246 = EqualizerSettingsProp.SubscribeMsgID
  8247 = EqualizerSettingsProp.UnsubscribeMsgID
  8248 = HeadTrackerStateProp.GetMsgID
  8249 = HeadTrackerStateProp.SetMsgID
  8250 = HeadTrackerStateProp.NotifyMsgID
  8251 = HeadTrackerStateProp.GetRespMsgID
  8252 = HeadTrackerStateProp.SubscribeMsgID
  8253 = HeadTrackerStateProp.UnsubscribeMsgID
  8254 = HardwareVersionProp.GetMsgID
  8255 = HardwareVersionProp.SetMsgID
  8256 = HardwareVersionProp.NotifyMsgID
  8257 = HardwareVersionProp.GetRespMsgID
  8258 = HardwareVersionProp.SubscribeMsgID
  8259 = HardwareVersionProp.UnsubscribeMsgID
  8260 = HIDV1FirmwareVersionProp.GetMsgID
  8261 = HIDV1FirmwareVersionProp.NotifyMsgID
  8262 = HIDV1FirmwareVersionProp.GetRespMsgID
  8263 = HIDV1FirmwareVersionProp.SubscribeMsgID
  8264 = HIDV1FirmwareVersionProp.UnsubscribeMsgID
  8265 = FirmwareUpgradeModeProp.SetMsgID
  8266 = FirmwareBlockProp.SetMsgID
  8267 = FirmwareVerifyProp.SetMsgID
  8268 = FirmwareStartUpgradeProp.SetMsgID
  8269 = SerialNumberProp.GetMsgID
  8270 = SerialNumberProp.SetMsgID
  8271 = SerialNumberProp.NotifyMsgID
  8272 = SerialNumberProp.GetRespMsgID
  8273 = SerialNumberProp.SubscribeMsgID
  8274 = SerialNumberProp.UnsubscribeMsgID
  8275 = ConnectedBluetoothDeviceNameProp.GetMsgID
  8276 = ConnectedBluetoothDeviceNameProp.NotifyMsgID
  8277 = ConnectedBluetoothDeviceNameProp.GetRespMsgID
  8278 = ConnectedBluetoothDeviceNameProp.SubscribeMsgID
  8279 = ConnectedBluetoothDeviceNameProp.UnsubscribeMsgID
